_id;cst_id;cst_first_name;cst_last_name;cst_birth_day;cst_email;cst_address;cst_gender;cst_country;cst_reviews;pro_id;pro_name;pro_brand;pro_category;pro_sub_category;pro_unit_price;pro_quantity;pro_total;or_id;or_status;or_payment_method;or_purchase_date;or_shipping_date;or_delivery_date
ASTT-80642-51;cst_9001; Yusleidy ;  Rodrésiguez   ;2004-03-22;yusleidyrodresiguez77@org.com;Avenida Las Delicias 11 ave, Maracay 94328 st Monagas;Fem;venezual;4;PRO_4654-UR98;Virtuoso RGB Wireless SE;cursair;Audio;Headsets & Speakers;441.4248;;441.4248;TXN/13523-TZ;processing;debit_card;2019-03-27;2019-03-30;2019-04-02
ASTT_72854-60;customer-6579;  Nicole  ;  García ;1986-11-27;nicole_garcia29@hotmail.com;Avenida Sarasota 38 zt, Santo Domingo 19834 st San Cristobal;fEmale;DO;1;PRO_1846-RI51;"Blade 16"" OLED RTX 4090";Razer;Laptops;Gaming Laptops;;4.0;6268.1268;TXN-41246-UZ;shipped;bank_transfer;2025-09-03;2025-09-03;2025-09-05
ASTT_89862-29;cst-1457;  Juan  ;  Zambrano   ;2003-04-30;juan_zambrano14@gmail.com;Avenida República 4 zt, Cuenca 38242 st Tungurahua;Male;ecuador;3;PRO-885-AR49;Processor Ryzen 5 8600g;AMD;Computers;Components;;8.0;4178.8168;TXN/30973-OI;shipped;debit_card;2018-01-25;2018-01-31;2018-02-08
ASTT_15734-22;customer-9365;  Ana ;   Sánchez ;1991-11-03;ana.sanchez67@hotmail.com;Avenida Juan Pablo Duarte 37 AA, Baní 51063 st La Altagracia;f;dO;4;PRO-3878-TZ88;"Monitor 24"" Professional P2422H";DELL;Computers;Monitors;1234.6369;;2469.2738;TXN_66633-AZ;delivered;credit_card;2019-03-14;2019-03-14;2019-03-16
ASTT-52900_14;user-9945;   Ever ;   López;2006-04-06;ever_lopez27@mail.com;Avenida Aviadores del Chaco 28 ave, Capiatá 72768 st Guaira;mAle;Paragay;0;PRO-1768-UA52;"MacBook Air 13"" M2 8GB";aple;Laptops;Notebooks;$1067.9278;2.0;2135.8556;TXN_14968-AZ;shipped;paypal;2024-10-03;2024-10-03;2024-10-05
ASTT_82037_29;user/3023; Carlos  ; Flores;1984-01-18;carlos_flores8@mail.com;Avenida Circunvalación 25 zt, Choluteca 50244 st Cortes;mAle;HN;0;PRO_2473-AR33;Motherboard TUF Gaming B650;ASUS;Computers;Components;;5.0;3587.067;TXN/24439-AR;delivered;debit_card;2024-10-19;2024-10-19;2024-10-21
ASTT_72443-34;cst-2438;  Rosa ; Flores ;1990-10-27;rosa_flores77@outlook.com;Bulevar Centroamérica 6 zt, Siguatepeque 65616 st Olancho;Fem;Hondura;1;PRO-6410-AO34;MDR-7506 Professional Headphones;Soni;Audio;Headsets & Speakers;631.0137;4.0;$2524.0548;TXN/48269-OO;shipped;credit_card;2021-01-07;2021-01-14;2021-01-24
ASTT_10296-34;user-7734;  Carlos   ; García ;1993-03-08;carlosgarcia45@ormail.com;Avenida Pardo 29 ave, Iquitos 64687 st Piura;masculino;PER;5;PRO-6737-AI1;Virtuoso RGB Wireless SE;Corsair;Audio;Headsets & Speakers;;8.0;13790.6048;TXN_11288-UI;pending;credit_card;2018-07-15;2018-07-15;2018-07-16
ASTT_43706_10;customer_7980;   Luis ;  Morales  ;2005-02-12;luismorales23@icloud.com;Vía Porras 3 th, Ciudad de Panamá 98874 st Los Santos;M;Panana;1;PRO_4116-OA70;"Monitor Gaming 32"" Odyssey G7";samsung;Computers;Monitors;$536.3766;6.0;$3218.2596;TXN-82138-TU;processing;debit_card;2022-04-15;2022-04-15;2022-04-16
ASTT_84616_57;customer-8447; Lily   ;   Roy  ;2000-06-02;lilyroy28@ormail.com;Jasper Avenue 8 th, Calgary 8577 st Ontario;Female;CAN;3;PRO-2013-IU81;Mechanical Keyboard K552;Redragon;Peripherals;Input Devices;$1379.7121;;2759.4242;TXN/66849-UT;processing;credit_card;2019-11-27;2019-12-02;2019-12-07
